| N     | ns/celda  | celdas/ms     | celdas/s       |
| ----- | --------- | ------------- | -------------- |
| 16384 | 0.0767    | 13,038,198.96 | 13,038,198,960 |
| 8192  | 0.0809    | 12,364,016.07 | 12,364,016,070 |
| 4096  | 0.1099    | 9,096,451.32  | 9,096,451,320  |
| 2048  | 0.2462    | 4,062,258.79  | 4,062,258,790  |
| 1024  | 0.631336  | 1,583,700.60  | 1,583,700,600  |
| 512   | 1.959783  | 510,081.49    | 510,081,490    |
| 256   | 7.976868  | 125,326.94    | 125,326,940    |
| 120   | 35.831748 | 27,919.80     | 27,919,800     |

