245.822775, 5.039510, 209.369318, 31.413947: ns per cell total, react, vel_step, dens_step
123.236503, 1.055953, 93.493914, 28.686636: ns per cell total, react, vel_step, dens_step
121.334295, 1.039297, 91.647308, 28.647690: ns per cell total, react, vel_step, dens_step
117.900389, 1.043190, 89.264893, 27.592305: ns per cell total, react, vel_step, dens_step
117.934040, 1.008960, 89.204288, 27.720792: ns per cell total, react, vel_step, dens_step
117.776009, 1.017173, 89.208615, 27.550221: ns per cell total, react, vel_step, dens_step
118.187569, 1.033214, 89.630345, 27.524011: ns per cell total, react, vel_step, dens_step
116.764843, 1.007748, 88.422453, 27.334643: ns per cell total, react, vel_step, dens_step
117.706749, 1.006287, 89.113972, 27.586490: ns per cell total, react, vel_step, dens_step
117.514460, 1.020122, 89.156167, 27.338171: ns per cell total, react, vel_step, dens_step
118.185888, 1.048978, 89.398671, 27.738238: ns per cell total, react, vel_step, dens_step
117.056212, 1.043273, 88.643763, 27.369176: ns per cell total, react, vel_step, dens_step
117.695174, 1.011882, 89.168128, 27.515164: ns per cell total, react, vel_step, dens_step
117.014651, 1.011110, 88.593190, 27.410351: ns per cell total, react, vel_step, dens_step
117.624812, 1.056833, 89.111740, 27.456239: ns per cell total, react, vel_step, dens_step
117.177230, 1.015961, 88.685021, 27.476248: ns per cell total, react, vel_step, dens_step
117.357310, 1.049171, 88.725011, 27.583128: ns per cell total, react, vel_step, dens_step
116.513657, 1.007362, 88.214813, 27.291483: ns per cell total, react, vel_step, dens_step
117.728605, 0.996889, 89.339940, 27.391776: ns per cell total, react, vel_step, dens_step
117.195916, 0.993775, 88.831946, 27.370196: ns per cell total, react, vel_step, dens_step
118.782185, 1.031973, 89.934254, 27.815958: ns per cell total, react, vel_step, dens_step
117.244257, 1.001188, 88.843990, 27.399079: ns per cell total, react, vel_step, dens_step
117.044554, 1.038863, 88.677304, 27.328387: ns per cell total, react, vel_step, dens_step
116.617175, 1.006315, 88.275363, 27.335497: ns per cell total, react, vel_step, dens_step
117.105050, 1.012709, 88.664985, 27.427356: ns per cell total, react, vel_step, dens_step
116.767241, 1.034840, 88.428599, 27.303803: ns per cell total, react, vel_step, dens_step
117.803156, 1.016457, 89.224214, 27.562485: ns per cell total, react, vel_step, dens_step
116.784880, 1.018110, 88.448305, 27.318465: ns per cell total, react, vel_step, dens_step
117.591106, 0.999590, 89.063481, 27.528034: ns per cell total, react, vel_step, dens_step
117.043810, 1.012957, 88.506595, 27.524259: ns per cell total, react, vel_step, dens_step
117.561947, 1.019351, 88.923447, 27.619149: ns per cell total, react, vel_step, dens_step
117.366075, 1.019847, 88.909088, 27.437140: ns per cell total, react, vel_step, dens_step
117.942722, 1.042529, 89.271728, 27.628465: ns per cell total, react, vel_step, dens_step
117.457768, 1.015795, 88.847380, 27.594593: ns per cell total, react, vel_step, dens_step
118.064980, 1.124466, 89.232069, 27.708445: ns per cell total, react, vel_step, dens_step
117.167419, 1.005240, 88.599115, 27.563064: ns per cell total, react, vel_step, dens_step
117.596287, 1.031091, 89.115626, 27.449570: ns per cell total, react, vel_step, dens_step
117.030278, 1.022382, 88.629046, 27.378850: ns per cell total, react, vel_step, dens_step
117.771489, 1.007830, 89.128772, 27.634886: ns per cell total, react, vel_step, dens_step
116.997068, 1.014969, 88.555597, 27.426502: ns per cell total, react, vel_step, dens_step
117.580164, 1.000472, 89.042480, 27.537212: ns per cell total, react, vel_step, dens_step
117.532760, 1.023126, 89.040799, 27.468835: ns per cell total, react, vel_step, dens_step
118.358747, 1.018965, 89.642857, 27.696925: ns per cell total, react, vel_step, dens_step
117.294169, 1.017146, 88.815658, 27.461366: ns per cell total, react, vel_step, dens_step
115.358703, 1.008121, 87.231830, 27.118751: ns per cell total, react, vel_step, dens_step
115.517490, 1.006008, 87.307586, 27.203896: ns per cell total, react, vel_step, dens_step
115.617364, 0.995263, 87.180249, 27.441853: ns per cell total, react, vel_step, dens_step
114.392873, 0.993355, 86.242461, 27.157057: ns per cell total, react, vel_step, dens_step
115.695719, 1.001354, 87.261331, 27.433034: ns per cell total, react, vel_step, dens_step
115.806787, 1.044100, 87.495209, 27.267478: ns per cell total, react, vel_step, dens_step

