1328.930011, 7.446033, 1062.466254, 259.017725: ns per cell total, react, vel_step, dens_step
1794.263274, 13.191008, 1505.643316, 275.428950: ns per cell total, react, vel_step, dens_step
1523.643732, 10.363389, 1274.492812, 238.787531: ns per cell total, react, vel_step, dens_step
1592.600711, 11.879213, 1343.200590, 237.520908: ns per cell total, react, vel_step, dens_step
1680.185657, 12.786586, 1434.023640, 233.375431: ns per cell total, react, vel_step, dens_step
1768.912019, 13.264677, 1512.711909, 242.935433: ns per cell total, react, vel_step, dens_step
1715.071448, 13.690017, 1469.277474, 232.103957: ns per cell total, react, vel_step, dens_step
1468.300979, 15.312253, 1221.010886, 231.977841: ns per cell total, react, vel_step, dens_step
1339.729351, 15.796710, 1092.655111, 231.277530: ns per cell total, react, vel_step, dens_step
1290.789138, 20.199574, 1038.872142, 231.717422: ns per cell total, react, vel_step, dens_step
1225.136884, 18.122819, 981.230642, 225.783424: ns per cell total, react, vel_step, dens_step
1192.801392, 18.601895, 946.606860, 227.592636: ns per cell total, react, vel_step, dens_step
1167.766641, 21.034566, 913.504664, 233.227411: ns per cell total, react, vel_step, dens_step
1165.462436, 20.700327, 913.312988, 231.449121: ns per cell total, react, vel_step, dens_step
1181.165771, 19.221488, 932.892817, 229.051466: ns per cell total, react, vel_step, dens_step
1168.773679, 17.518914, 919.517561, 231.737204: ns per cell total, react, vel_step, dens_step
1162.612989, 16.154445, 906.376954, 240.081590: ns per cell total, react, vel_step, dens_step
1158.175564, 13.100816, 916.220642, 228.854105: ns per cell total, react, vel_step, dens_step
1154.686743, 11.588327, 907.678441, 235.419975: ns per cell total, react, vel_step, dens_step
1154.998927, 10.467375, 909.531764, 234.999789: ns per cell total, react, vel_step, dens_step
1158.772420, 10.187932, 910.538802, 238.045686: ns per cell total, react, vel_step, dens_step
1157.800625, 9.205905, 902.434294, 246.160425: ns per cell total, react, vel_step, dens_step
1194.320703, 8.436245, 954.325742, 231.558715: ns per cell total, react, vel_step, dens_step
1149.248192, 8.044481, 912.092219, 229.111492: ns per cell total, react, vel_step, dens_step
1191.330966, 7.728886, 934.923037, 248.679044: ns per cell total, react, vel_step, dens_step
1164.462219, 7.074505, 922.660092, 234.727622: ns per cell total, react, vel_step, dens_step
1164.667765, 7.068593, 924.705319, 232.893854: ns per cell total, react, vel_step, dens_step
1165.308731, 6.194114, 920.944103, 238.170514: ns per cell total, react, vel_step, dens_step
1166.991979, 5.903075, 921.996161, 239.092742: ns per cell total, react, vel_step, dens_step
1159.680323, 6.125447, 913.038093, 240.516783: ns per cell total, react, vel_step, dens_step
1169.382813, 6.848950, 933.048568, 229.485295: ns per cell total, react, vel_step, dens_step
1153.589210, 5.776201, 913.520807, 234.292202: ns per cell total, react, vel_step, dens_step
1151.556035, 5.794391, 912.714995, 233.046649: ns per cell total, react, vel_step, dens_step
1173.162673, 6.235268, 934.145191, 232.782213: ns per cell total, react, vel_step, dens_step
1161.304453, 5.971060, 909.184564, 246.148829: ns per cell total, react, vel_step, dens_step
1144.009730, 6.760729, 902.165311, 235.083689: ns per cell total, react, vel_step, dens_step
1154.827942, 6.089977, 910.029485, 238.708481: ns per cell total, react, vel_step, dens_step
1157.189217, 6.088385, 911.105190, 239.995643: ns per cell total, react, vel_step, dens_step
1155.731979, 5.994252, 910.731842, 239.005885: ns per cell total, react, vel_step, dens_step
1159.283556, 6.089067, 904.376066, 248.818424: ns per cell total, react, vel_step, dens_step
1176.849992, 6.234131, 923.961352, 246.654508: ns per cell total, react, vel_step, dens_step
1153.769517, 5.784159, 918.246997, 229.738362: ns per cell total, react, vel_step, dens_step
1145.985834, 5.834636, 904.948138, 235.203061: ns per cell total, react, vel_step, dens_step
1155.287691, 6.133178, 915.467353, 233.687160: ns per cell total, react, vel_step, dens_step
1193.531943, 6.803702, 935.105163, 251.623078: ns per cell total, react, vel_step, dens_step
1156.536428, 5.801212, 911.950337, 238.784878: ns per cell total, react, vel_step, dens_step
1162.287845, 5.931270, 920.622597, 235.733978: ns per cell total, react, vel_step, dens_step
1160.060719, 6.232085, 913.348231, 240.480404: ns per cell total, react, vel_step, dens_step
1139.156439, 6.038135, 897.547579, 235.570724: ns per cell total, react, vel_step, dens_step
1157.737415, 6.440814, 913.122221, 238.174380: ns per cell total, react, vel_step, dens_step
