808.289769, 13.733370, 689.069566, 105.486833: ns per cell total, react, vel_step, dens_step
511.251831, 8.997328, 407.230254, 95.024249: ns per cell total, react, vel_step, dens_step
483.449980, 5.847141, 383.065867, 94.536972: ns per cell total, react, vel_step, dens_step
487.973011, 5.883976, 383.407610, 98.681426: ns per cell total, react, vel_step, dens_step
488.302362, 5.846573, 380.752795, 101.702994: ns per cell total, react, vel_step, dens_step
490.061780, 5.854190, 381.340556, 102.867034: ns per cell total, react, vel_step, dens_step
488.684691, 5.827928, 380.453798, 102.402964: ns per cell total, react, vel_step, dens_step
491.472747, 5.851803, 382.101348, 103.519596: ns per cell total, react, vel_step, dens_step
488.130695, 5.815536, 380.452548, 101.862611: ns per cell total, react, vel_step, dens_step
490.158072, 5.817014, 382.237090, 102.103968: ns per cell total, react, vel_step, dens_step
489.865783, 5.819288, 380.685492, 103.361003: ns per cell total, react, vel_step, dens_step
491.567562, 5.860670, 381.631367, 104.075525: ns per cell total, react, vel_step, dens_step
491.949550, 5.786319, 380.706979, 105.456252: ns per cell total, react, vel_step, dens_step
501.527534, 5.888597, 386.851752, 108.787184: ns per cell total, react, vel_step, dens_step
493.103031, 5.811378, 380.798156, 106.493497: ns per cell total, react, vel_step, dens_step
495.034915, 5.785090, 382.760317, 106.489507: ns per cell total, react, vel_step, dens_step
492.157142, 5.769039, 380.367624, 106.020480: ns per cell total, react, vel_step, dens_step
493.639457, 5.809500, 381.959962, 105.869995: ns per cell total, react, vel_step, dens_step
490.066213, 5.782567, 379.776793, 104.506853: ns per cell total, react, vel_step, dens_step
492.258902, 5.785912, 381.332586, 105.140404: ns per cell total, react, vel_step, dens_step
491.798005, 5.792458, 381.886935, 104.118612: ns per cell total, react, vel_step, dens_step
491.308583, 5.797460, 381.973905, 103.537218: ns per cell total, react, vel_step, dens_step
490.167167, 5.767447, 380.762799, 103.636921: ns per cell total, react, vel_step, dens_step
492.625047, 5.792601, 381.874645, 104.957801: ns per cell total, react, vel_step, dens_step
491.583251, 5.769607, 380.583970, 105.229674: ns per cell total, react, vel_step, dens_step
492.589137, 5.776406, 381.437971, 105.374760: ns per cell total, react, vel_step, dens_step
487.460511, 5.761763, 381.616360, 100.082389: ns per cell total, react, vel_step, dens_step
482.515361, 5.766196, 382.046323, 94.702841: ns per cell total, react, vel_step, dens_step
478.695483, 5.776997, 380.866595, 92.051891: ns per cell total, react, vel_step, dens_step
481.339839, 5.763354, 383.488668, 92.087816: ns per cell total, react, vel_step, dens_step
478.049742, 5.757897, 380.536562, 91.755282: ns per cell total, react, vel_step, dens_step
479.146593, 5.761990, 381.462542, 91.922061: ns per cell total, react, vel_step, dens_step
478.511993, 5.758011, 380.568167, 92.185815: ns per cell total, react, vel_step, dens_step
479.780851, 5.774382, 381.064183, 92.942287: ns per cell total, react, vel_step, dens_step
477.658318, 5.762445, 380.161396, 91.734478: ns per cell total, react, vel_step, dens_step
480.332119, 5.793368, 382.276198, 92.262553: ns per cell total, react, vel_step, dens_step
478.242441, 5.771881, 380.532470, 91.938091: ns per cell total, react, vel_step, dens_step
479.024038, 5.777565, 381.265068, 91.981406: ns per cell total, react, vel_step, dens_step
477.707999, 5.763809, 380.203574, 91.740617: ns per cell total, react, vel_step, dens_step
480.019594, 5.798142, 382.004828, 92.216624: ns per cell total, react, vel_step, dens_step
477.846584, 5.774837, 380.158781, 91.912966: ns per cell total, react, vel_step, dens_step
480.140784, 5.801667, 381.826680, 92.512437: ns per cell total, react, vel_step, dens_step
477.878189, 5.769948, 380.233814, 91.874426: ns per cell total, react, vel_step, dens_step
478.796096, 5.771540, 381.221867, 91.802690: ns per cell total, react, vel_step, dens_step
477.659000, 5.757101, 380.186975, 91.714924: ns per cell total, react, vel_step, dens_step
478.887728, 5.935362, 381.024506, 91.927859: ns per cell total, react, vel_step, dens_step
477.710500, 5.765173, 380.036568, 91.908760: ns per cell total, react, vel_step, dens_step
478.156494, 5.766424, 380.432084, 91.957986: ns per cell total, react, vel_step, dens_step
477.887056, 5.766424, 380.074198, 92.046434: ns per cell total, react, vel_step, dens_step
478.345896, 5.787228, 380.630809, 91.927859: ns per cell total, react, vel_step, dens_step

