1360.240958, 7.926019, 1083.857569, 268.457370: ns per cell total, react, vel_step, dens_step
1184.802159, 6.800747, 961.614433, 216.386979: ns per cell total, react, vel_step, dens_step
1137.681011, 6.448772, 916.083309, 215.148930: ns per cell total, react, vel_step, dens_step
1161.156661, 6.646133, 938.947778, 215.562750: ns per cell total, react, vel_step, dens_step
1173.995997, 6.692062, 952.449682, 214.854253: ns per cell total, react, vel_step, dens_step
1189.178420, 7.451035, 965.078243, 216.649141: ns per cell total, react, vel_step, dens_step
1222.080300, 7.298468, 996.085191, 218.696641: ns per cell total, react, vel_step, dens_step
1233.953299, 7.399422, 1008.257868, 218.296009: ns per cell total, react, vel_step, dens_step
1247.276487, 7.553126, 1022.347533, 217.375828: ns per cell total, react, vel_step, dens_step
1267.314929, 7.926928, 1043.655402, 215.732598: ns per cell total, react, vel_step, dens_step
1283.611255, 8.145207, 1056.512929, 218.953119: ns per cell total, react, vel_step, dens_step
1304.085799, 8.388724, 1075.814225, 219.882850: ns per cell total, react, vel_step, dens_step
1323.352990, 8.704319, 1097.802169, 216.846502: ns per cell total, react, vel_step, dens_step
1341.016741, 8.803454, 1114.970246, 217.243041: ns per cell total, react, vel_step, dens_step
1357.213023, 8.700454, 1130.938472, 217.574097: ns per cell total, react, vel_step, dens_step
1378.378101, 8.920779, 1151.573088, 217.884235: ns per cell total, react, vel_step, dens_step
1395.862682, 9.196356, 1168.562903, 218.103423: ns per cell total, react, vel_step, dens_step
1413.740165, 9.613132, 1183.594577, 220.532456: ns per cell total, react, vel_step, dens_step
1451.375965, 9.846644, 1223.073923, 218.455398: ns per cell total, react, vel_step, dens_step
1456.928430, 10.006943, 1228.676865, 218.244622: ns per cell total, react, vel_step, dens_step
1496.211098, 10.358917, 1244.351324, 241.500857: ns per cell total, react, vel_step, dens_step
1492.786396, 10.322537, 1259.940063, 222.523795: ns per cell total, react, vel_step, dens_step
1505.971113, 10.556278, 1276.234570, 219.180265: ns per cell total, react, vel_step, dens_step
1524.461595, 10.745907, 1293.321702, 220.393986: ns per cell total, react, vel_step, dens_step
1539.579443, 10.746817, 1310.386779, 218.445848: ns per cell total, react, vel_step, dens_step
1565.911361, 10.956683, 1335.554316, 219.400363: ns per cell total, react, vel_step, dens_step
1582.071263, 11.156999, 1346.036015, 224.878249: ns per cell total, react, vel_step, dens_step
1592.903118, 11.647217, 1360.928536, 220.327365: ns per cell total, react, vel_step, dens_step
1622.115178, 11.742713, 1390.536227, 219.836238: ns per cell total, react, vel_step, dens_step
1640.878736, 11.957127, 1401.995632, 226.925977: ns per cell total, react, vel_step, dens_step
1656.903351, 12.268174, 1423.719368, 220.915808: ns per cell total, react, vel_step, dens_step
1683.916025, 12.303190, 1450.099944, 221.512892: ns per cell total, react, vel_step, dens_step
1693.948889, 12.520786, 1459.533678, 221.894425: ns per cell total, react, vel_step, dens_step
1704.864417, 12.696319, 1469.066547, 223.101551: ns per cell total, react, vel_step, dens_step
1721.270564, 12.768851, 1483.407914, 225.093800: ns per cell total, react, vel_step, dens_step
1737.198772, 13.223598, 1503.405656, 220.569518: ns per cell total, react, vel_step, dens_step
1759.511861, 13.329554, 1524.228992, 221.953314: ns per cell total, react, vel_step, dens_step
1770.389645, 13.511681, 1535.061756, 221.816208: ns per cell total, react, vel_step, dens_step
1771.627467, 13.659474, 1535.713409, 222.254585: ns per cell total, react, vel_step, dens_step
1753.456218, 13.889348, 1517.491228, 222.075641: ns per cell total, react, vel_step, dens_step
1723.279183, 14.080115, 1487.990403, 221.208666: ns per cell total, react, vel_step, dens_step
1697.366770, 14.163106, 1463.981562, 219.222102: ns per cell total, react, vel_step, dens_step
1664.757747, 14.302259, 1429.912572, 220.542915: ns per cell total, react, vel_step, dens_step
1634.442242, 14.682882, 1397.390179, 222.369181: ns per cell total, react, vel_step, dens_step
1608.047342, 14.993702, 1371.118515, 221.935125: ns per cell total, react, vel_step, dens_step
1577.369630, 15.189244, 1342.288897, 219.891490: ns per cell total, react, vel_step, dens_step
1556.166580, 15.303613, 1320.755928, 220.107040: ns per cell total, react, vel_step, dens_step
1536.871878, 15.571459, 1302.738156, 218.562263: ns per cell total, react, vel_step, dens_step
1517.442797, 15.576461, 1283.310894, 218.555442: ns per cell total, react, vel_step, dens_step
1499.719474, 15.925252, 1261.654006, 222.140216: ns per cell total, react, vel_step, dens_step
